COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
15814,4499,0,0,0,0,0,0,0,0,3
15816,3599,0,0,0,18,0,0,0,0,0
15820,2091,0,0,0,0,0,0,0,0,0
15822,3535,0,0,0,0,0,0,0,0,219
15832,570,0,0,0,697,0,0,0,0,0
15835,3776,0,0,0,0,0,0,0,0,5
15837,5823,0,3,0,0,0,1,0,0,9
15839,1506,0,0,0,0,0,0,0,0,0
15842,5884,0,1,0,0,0,2,0,0,6
15861,10425,0,0,0,0,0,0,0,0,0
15879,2165,0,0,0,0,0,0,0,0,0
15897,2624,0,1,0,234,0,0,0,0,350
17001,14930,29,67,18,163,7,32,0,0,297
17013,7666,0,0,0,5,0,5,0,0,987
17042,10008,58,40,21,0,7,0,0,0,2378
17050,69,0,0,0,0,0,0,0,0,3231
17088,3938,0,0,0,0,0,0,0,0,62
17174,3706,7,4,0,0,0,0,0,0,124
17272,801,0,4,24,0,0,0,0,0,4099
17380,2384,11,28,0,592,24,7,0,0,8
17388,2066,9,0,0,8,0,0,0,0,21
17433,6288,2,0,0,282,1,0,0,0,0
17442,1624,0,0,0,0,0,0,0,0,1987
17444,6318,0,0,0,0,1,0,0,0,0
17446,37,0,0,0,912,0,0,0,0,10
17486,7320,34,32,0,93,0,9,0,0,258
17495,762,4,0,0,789,0,0,0,0,4
17513,3536,0,2,0,7,0,0,0,0,1770
17524,3641,5,0,2,5,0,0,0,0,29
17541,1727,0,4,0,6289,0,0,0,0,0
17614,13306,15,10,6,338,5,20,0,0,8815
17616,5245,48,0,0,0,0,5,0,0,169
17653,134,0,0,0,333,0,0,0,0,4530
17662,7679,4,0,0,1258,3,0,0,0,2
17665,3169,12,5,0,0,0,0,0,0,4
17777,10077,0,0,10,6,0,0,0,0,2272
17867,3017,0,54,3,84,0,0,0,0,0
17873,4603,32,189,0,115,0,14,0,0,250
17877,1748,0,0,0,0,0,0,0,0,13
18001,6795,4,298,10,5036,44,14,0,0,132
18029,741,0,4,0,1304,0,0,0,0,0
18094,486,29,2,2,2150,16,0,0,0,5
18150,445,14,1,2,9968,147,31,18,0,22
18205,26,0,0,0,1923,0,0,0,0,0
18247,975,0,2,1,3070,3,0,0,0,8
18256,532,1,1,1,4027,2,1,0,0,3
18410,721,7,7,5,5793,84,161,0,0,19
18460,256,0,2,0,2374,0,0,0,0,0
18479,594,0,0,1,914,1,0,0,0,0
18592,979,3,4,10,7525,23,1,0,0,59
18610,539,1,0,24,2197,11,0,0,0,5
18753,1125,6,50,18,15247,101,110,15,0,103
18756,258,12,32,4,5521,17,38,0,0,6
18785,125,0,5,9,1763,0,2,0,0,0
18860,85,0,0,0,2946,5,2,0,0,0
19001,22220,133,25,46,1431,32,112,0,0,1244
19022,49,0,1,0,0,0,1,0,0,14163
19050,8253,4,5,0,3939,2,30,0,0,1380
19075,714,0,0,1,20,0,3,0,0,10568
19100,102,4,4,1,12,1,8,0,0,27305
19110,4753,16,0,5,2722,11,29,0,0,6728
19130,11758,9,0,11,173,3,10,0,0,16638
19137,10723,10,1,0,3,1,0,0,0,1815
19142,4342,75,15,61,115,103,33,0,0,2394
19212,833,2,0,23,282,19,0,0,0,6551
19256,12010,19,3,10,6458,7,2,0,0,10726
19290,47,0,0,0,0,0,0,0,0,3429
19300,1919,13,0,1,0,1,0,0,0,142
19318,492,8,88,18,8643,30,23,0,0,24
19355,534,1,0,25,263,0,0,0,0,20767
19364,4044,1,1,6,0,0,9,0,0,227
19392,1019,0,0,2,1,0,0,0,0,6831
