COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
25612,6257,196,166,151,29,11,351,0,0,183
25645,2207,0,7,0,3,2,32,0,0,17
25649,2440,0,14,2,122,1,267,0,0,371
25653,870,0,0,2,15,0,5,0,0,0
25658,3933,0,12,0,0,4,13,0,0,7
25662,3333,0,38,27,33,1,165,0,0,507
25718,2441,2,15,0,8,3,54,0,0,28
25736,5522,0,8,0,51,0,246,0,0,123
25740,26128,2,350,0,15,48,513,0,0,21
25743,7975,0,24,0,52,8,124,0,0,45
25745,7145,3,15,0,28,0,78,0,0,162
25754,613032,52,17142,45,3136,2827,4635,0,0,272
