COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
19807,251,5,0,3,12,0,1,0,10,13
19809,175,1,8,3,1327,4,1,1,374,8
19821,195,0,2,1,10,0,0,0,8,115
19824,206,1,3,0,8,0,1,0,12,61
19845,116,0,0,0,8,0,0,0,1,3
20001,1163,33,35,10,256,55,14,1,1432,407
20011,169,0,0,2,10,1,2,0,9,57
20013,179,1,8,5,87,8,3,1,31,25
20032,48,1,0,0,41,10,0,0,8,48
20045,90,2,1,0,53,24,1,0,36,17
20060,130,0,1,0,14,8,0,0,11,7
20175,125,1,1,3,46,2,1,0,59,80
20178,93,2,0,2,41,17,0,0,94,38
20228,75,0,1,1,34,30,0,0,30,29
20238,130,3,0,0,45,3,2,0,43,5
20250,55,0,1,0,9,0,0,0,16,57
20295,42,0,0,0,3,1,1,0,5,2
20310,34,0,0,0,0,0,0,0,6,26
20383,49,0,0,0,17,0,0,0,11,12
20400,59,0,1,3,59,5,0,0,19,39
20443,18,0,0,0,10,0,14,0,0,8
20517,32,1,1,0,25,0,0,0,7,22
20550,40,0,0,0,24,1,0,0,0,6
20570,190,0,6,2,87,5,8,0,4,190
20614,65,0,1,0,1,1,0,0,15,34
20621,105,0,6,1,35,22,3,1,32,72
20710,86,0,2,1,12,0,0,0,3,8
20750,60,0,0,0,9,0,0,0,6,6
20770,115,3,0,1,15,3,0,0,10,3
20787,75,0,4,0,23,1,0,0,25,21
23001,739,22,22,5,782,20,12,0,148,59
23068,91,27,1,5,108,49,1,0,20,0
23079,57,0,4,0,30,1,0,0,4,1
23090,9,2,1,0,117,2,0,0,5,0
23162,214,3,11,6,24,5,3,0,3,5
23168,56,10,0,0,3,1,5,0,5,9
23182,139,8,1,3,0,0,0,0,9,57
23189,334,61,6,1,27,3,5,0,18,26
23300,72,1,0,0,2,0,1,0,3,0
23350,101,3,2,1,38,7,0,0,18,0
23417,272,11,9,1,208,6,6,0,4,45
23419,19,1,1,0,168,1,0,0,3,1
23464,22,1,1,0,1,0,0,0,0,14
23466,105,22,2,0,265,12,0,0,7,3
23500,37,4,4,5,206,2,1,0,2,2
23555,186,10,9,10,133,3,2,0,19,16
23570,169,15,2,2,153,6,1,0,19,33
23574,28,1,9,1,190,0,3,0,5,0
23580,229,3,0,1,647,20,4,1,87,4
23586,35,17,0,0,2,0,0,0,1,14
23660,185,12,3,30,10,0,0,0,12,211
23670,127,281,15,225,2,2,3,0,18,202
23672,104,25,0,0,10,0,0,0,7,127
23675,62,11,2,0,32,4,0,0,3,19
23678,129,1,0,7,27,0,1,0,1,12
23682,46,0,0,0,90,1,1,0,25,1
23686,178,7,1,0,98,1,1,0,7,7
23807,331,14,11,2,1123,21,5,3,48,20
23815,28,16,2,0,3,0,0,0,2,38
23855,122,11,5,4,749,4,2,0,90,1
25001,24,0,0,0,0,0,0,0,4,1
25019,20,0,0,0,1,0,1,0,2,1
25035,43,0,0,1,0,1,2,0,21,1
25040,41,0,0,0,0,0,1,0,0,0
25053,41,0,2,0,2,0,1,0,1,0
25086,61,0,1,1,0,2,1,0,44,10
25095,13,0,0,0,0,0,1,0,3,0
25099,44,0,0,1,0,0,0,0,0,0
25120,37,0,11,0,34,0,0,0,4,0
25123,30,0,0,0,0,0,1,0,2,1
25126,192,0,3,0,0,0,3,0,8,0
25148,147,0,0,1,45,0,0,0,13,3
25151,26,0,0,0,0,0,0,0,0,1
25154,33,0,0,0,0,0,1,0,4,2
25168,9,0,0,0,0,0,1,0,0,7
25175,243,0,2,0,4,2,29,0,2,0
25178,48,0,0,0,1,0,1,0,13,9
25181,30,0,1,0,0,0,0,0,0,4
25183,66,0,0,0,0,0,4,0,21,1
25200,52,0,0,0,0,0,0,0,0,0
25214,348,0,2,1,10,0,22,0,7,5
25224,34,0,0,0,3,0,1,0,1,1
25245,38,0,1,1,1,0,2,0,10,0
25258,31,0,0,3,1,0,3,0,6,2
25260,24,0,0,0,0,0,1,0,0,0
25269,145,0,7,0,2,0,3,0,0,2
25279,35,0,1,0,0,0,1,0,4,3
25281,21,0,0,0,0,0,0,0,1,2
25286,59,0,9,0,0,0,4,0,0,0
25288,13,0,0,0,0,0,0,0,1,0
25290,88,0,3,0,2,0,2,0,8,2
25293,45,0,0,0,9,2,5,0,18,21
25295,23,0,0,0,1,0,0,0,0,0
25297,47,0,0,0,1,0,2,0,2,14
25299,18,0,0,0,0,0,1,0,3,5
25307,118,34,3,1,4,11,0,0,21,2
25312,19,0,0,0,0,0,0,0,0,0
25317,25,0,0,0,0,0,1,0,1,1
25320,166,1,4,0,12,8,0,0,12,8
25322,79,0,1,0,1,0,3,0,18,2
25324,8,0,0,0,0,0,1,0,2,21
25326,35,0,0,0,0,0,2,0,3,0
25328,13,0,0,0,0,0,0,0,1,0
25335,101,0,0,0,8,0,4,0,9,0
25339,49,0,2,0,5,1,0,0,4,0
25368,34,0,1,0,0,0,0,0,35,15
25372,33,0,0,0,0,0,0,0,0,14
25377,192,0,1,0,0,2,10,0,11,0
25386,40,0,0,0,1,1,2,0,15,1
25394,39,1,0,0,7,0,1,0,6,1
25398,33,2,0,0,1,0,2,0,3,7
25402,40,0,0,0,1,0,1,0,3,1
25407,46,0,0,0,1,0,1,0,2,0
25426,30,0,1,0,0,0,0,0,13,7
25430,59,0,1,0,3,0,1,0,1,1
25436,6,0,0,0,0,0,0,0,5,8
25438,100,0,3,0,69,5,0,0,36,0
25473,117,0,18,0,1,0,2,0,1,0
25483,16,0,0,0,0,0,0,0,0,7
25486,58,0,0,0,0,0,2,0,5,0
25488,189,2,14,3,0,0,4,0,11,5
25489,10,0,0,0,0,0,0,0,0,2
25491,10,0,0,0,0,0,0,0,0,2
25506,21,0,2,0,21,0,1,0,7,0
25513,97,1,0,0,4,0,2,0,6,3
25518,11,0,0,0,23,0,1,0,0,3
25524,45,2,0,0,8,1,3,0,23,5
25530,122,0,5,0,19,5,2,0,19,0
25535,38,0,0,0,1,0,0,0,0,1
25572,294,0,16,0,72,8,11,0,32,0
25580,66,0,0,1,2,0,2,0,28,20
25592,12,0,0,0,0,0,0,0,0,0
25594,53,0,0,0,0,0,0,0,9,1
25596,44,0,0,0,0,0,2,0,2,5
25599,58,1,2,1,1,1,13,0,50,4
25612,77,2,0,0,0,0,3,0,2,0
25645,33,0,1,0,1,0,1,0,0,0
25649,12,0,0,0,13,0,2,0,4,1
25653,50,0,1,0,17,0,0,0,9,0
25658,40,0,0,0,0,0,1,0,2,0
25662,63,0,0,0,1,0,1,0,15,12
25718,21,0,0,0,2,0,0,0,1,0
25736,41,0,0,0,0,0,0,0,16,2
25740,44,0,1,0,0,0,0,0,0,0
25743,67,0,0,0,3,0,4,0,14,0
25745,23,0,0,0,0,0,0,0,0,0
25754,145,1,10,0,2,1,2,0,22,1
25758,182,0,0,0,1,0,1,0,33,0
25769,52,0,0,0,0,0,8,0,3,0
25772,82,0,0,0,2,0,1,0,15,1
25777,20,0,0,0,1,0,0,0,1,0
25779,15,0,0,0,0,0,0,0,1,0
25781,20,0,0,0,0,0,0,0,0,0
25785,71,0,2,0,0,0,2,0,0,0
25793,37,0,0,0,1,0,1,0,4,0
25797,47,0,0,0,0,0,3,0,18,0
25799,85,0,2,0,0,0,7,0,0,2
25805,13,1,0,0,1,0,1,0,2,0
25807,13,0,0,0,0,0,0,0,1,2
25815,57,0,1,2,0,4,1,0,4,15
25817,113,0,7,0,3,0,9,0,0,1
25823,29,0,0,3,7,0,0,0,6,2
25839,49,0,1,0,5,1,10,0,26,24
25841,33,0,0,0,0,0,0,0,4,0
25843,90,0,2,0,0,0,0,0,11,2
25845,21,0,0,0,2,0,0,0,6,0
25851,9,0,0,0,0,0,0,0,0,0
25862,21,0,0,7,2,0,0,0,6,1
25867,12,0,0,0,0,0,0,0,0,0
25871,14,0,0,1,1,0,0,0,7,1
25873,47,0,2,0,0,0,2,0,2,1
25875,53,0,1,1,1,0,2,0,17,1
25878,61,1,1,1,5,1,11,0,23,0
25885,73,0,1,1,142,0,1,0,31,4
25898,17,0,0,0,0,0,3,0,0,0
25899,80,0,2,0,1,0,0,0,1,1
27001,145,3,1,0,286,5,1,0,57,4
27006,117,3,2,0,591,22,4,1,387,3
27025,15,382,6,1,1204,23,3,338,34,9
27050,39,0,15,1,19,0,0,0,18,1
27073,52,3,0,17,655,2,0,0,25,5
