Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
30,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,110,380,127,5,5030,5024
30,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,63,418,140,5,5030,5024
30,Concreto vaciado,"Cemento, gravilla",Casa,112,387,125,5,5030,5024
30,Concreto vaciado,"Cemento, gravilla",Apartamento,17,89,30,5,5030,5024
30,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,11,39,13,5,5030,5024
30,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,2,2,2,5,5030,5024
30,Material prefabricado,"Cemento, gravilla",Casa,19,69,24,5,5030,5024
30,Material prefabricado,"Madera burda, tabla, tablon, otro vegetal",Casa,1,1,1,5,5030,5024
30,Material prefabricado,"Tierra, arena, barro",Casa,1,4,1,5,5030,5024
30,Guadua,"Cemento, gravilla",Apartamento,1,1,1,5,5030,5024
30,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,260,1111,382,5,5030,5024
30,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,16,92,33,5,5030,5024
30,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,572,2088,685,5,5030,5024
30,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Apartamento,24,73,30,5,5030,5024
30,"Tapia pisada, bahareque, adobe","Madera burda, tabla, tablon, otro vegetal",Casa,2,2,2,5,5030,5024
30,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,20,75,26,5,5030,5024
30,"Madera burda, tabla, tablon","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,2,1,5,5030,5024
30,"Madera burda, tabla, tablon","Cemento, gravilla",Casa,11,40,12,5,5030,5024
30,"Madera burda, tabla, tablon","Cemento, gravilla",Apartamento,2,6,2,5,5030,5024
30,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Casa,3,13,3,5,5030,5024
30,"Madera burda, tabla, tablon","Tierra, arena, barro",Casa,19,69,19,5,5030,5024
30,"Madera burda, tabla, tablon","Tierra, arena, barro",Apartamento,1,3,1,5,5030,5024
30,"Cana, esterilla, otros vegetales","Tierra, arena, barro",Casa,1,1,1,5,5030,5024
30,"Madera burda, tabla, tablon, otro vegetal","Madera burda, tabla, tablon, otro vegetal",Casa,1,2,1,5,5030,5024
30,"Madera burda, tabla, tablon, otro vegetal","Tierra, arena, barro",Casa,6,11,6,5,5030,5024
31,Sin informacion,Sin informacion,Casa,489,0,0,5,5031,3594
31,Sin informacion,Sin informacion,Apartamento,297,0,0,5,5031,3594
31,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Casa,15,50,21,5,5031,3594
31,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Apartamento,5,15,7,5,5031,3594
31,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1083,4690,1637,5,5031,3594
31,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,368,1399,531,5,5031,3594
31,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,911,3971,1224,5,5031,3594
31,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,194,875,313,5,5031,3594
31,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Casa,5,14,5,5,5031,3594
31,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Apartamento,1,1,1,5,5031,3594
31,Concreto vaciado,"Marmol, parque, madera pulida y lacada",Casa,1,2,1,5,5031,3594
31,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,5,16,5,5,5031,3594
31,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,5,9,5,5,5031,3594
